city,district,dizh,jingwd,name,province,province_city
北京市市辖区,房山区,北京市房山区阎村镇紫园路117号海尔售后,"116.093109,39.711000",北京海旺新盛科技有限公司,北京市,北京北京市
北京市市辖区,房山区,北京市房山区长沟镇长沟大街68号,"115.899871,39.577262",北京京南学东电器有限公司,北京市,北京北京市
北京市市辖区,房山区,北京市房山区阎村镇大十三里村,"116.110960,39.689782",北京恒盛天宇商贸有限公司,北京市,北京北京市
北京市市辖区,房山区,北京市房山区良乡镇后店镇后店村1号院,"116.160717,39.746955",北京海腾商贸有限公司,北京市,北京北京市
北京市市辖区,房山区,北京市房山区闫村镇大董村华冠超市后底商1号,"116.061639,39.714300",北京方圆诚业科贸有限公司,北京市,北京北京市
北京市市辖区,房山区,北京市房山区良乡镇后店村一号,"116.152540,39.704938",搜浪时代（北京）管理咨询有限公司,北京市,北京北京市
北京市市辖区,房山区,北京房山区闫村镇紫园路117号（农行附近）,"116.093511,39.711146",北京利民新星电器维修中心,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区四道口路皂君庙乙2号,"116.339609,39.964366",北京鹏远捷成环保科技有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区西平庄257号,"116.236080,39.947985",北京八方博越科技有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区清河毛纺路清秀阁底商36-10,"116.338118,40.030095",北京宏瑞鑫业商贸有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀农大南路树村路口海尔售后,"116.301117,40.025100",北京海纳明川商贸有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区四季清柴家坟736号,"116.298056,39.959912",北京超福英制冷设备有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀四季青镇齐家村,"116.227964,39.960945",北京鑫旭恒星技术服务有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区马莲洼北路9号院红钻KTV后,"116.301510,40.034610",北京建玲胜家电维修部,北京市,北京北京市
北京市市辖区,海淀区,北京市香山南82号院,"116.221519,39.951273",北京豪景恒昌商贸有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区马莲洼北路菊园小区东侧海尔专卖,"116.277964,40.033250",北京海源博隆科技有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区宝顺里清河路151号京秦公司,"116.378298,40.033142",北京尔天祥商贸有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区四季清乡西平庒5号,"116.236464,39.949421",北京东方宏光制冷设备维修部,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区紫城嘉园9号楼地下,"116.295239,40.028353",北京市金铭通家电维修部,北京市,北京北京市
北京市市辖区,海淀区,北京海淀区香山南路82号9号库房,"116.221651,39.951112",北京辉宇达燃气设备有限公司,北京市,北京北京市
北京市市辖区,海淀区,北京市海淀区田村半壁店双愧树永定河边海尔大院,"116.268353,39.931827",北京开元创世商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区豆各庄乡于家围南队甲3号,"116.568701,39.874407",北京宏祥顺经贸有限责任公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区奥林匹克花园小区,"116.545233,39.961089",北京盛世盈嘉贸易有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区崔各庄乡东辛店村,"116.503716,40.008838",北京瑞海东旭科贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区东坝后街临41号,"116.561250,39.979737",北京兴远盛达商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区十八里店乡六道口村1144号旁边,"116.466430,39.852130",北京冀宁日日顺家电安装有限责任公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区十八里店乡吕家营东里126号,"116.470726,39.850117",北京圆通海慧科技有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区十八里店吕家营六道口桥,"116.472766,39.849116",北京中润濠科技有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区横街子花墙子97号,"116.505948,39.823947",北京金成正泰商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区金榆路中雕塑园附近金盏艺术园沙窝村海尔库房,"116.630323,39.961526",北京盛华博宇商贸有限公司,北京市,北京北京市
北京市市辖区,石景山区,北京市石景山区高井路29-2-1,"116.133666,39.936120",北京鸿坤盛源贸易有限公司,北京市,北京北京市
北京市市辖区,石景山区,北京市海淀区香山南路825号院06号铺,"116.207831,39.944264",北京金天皓家电维修中心,北京市,北京北京市
北京市市辖区,石景山区,石景山区高井路29-2-1号底商,"116.138867,39.937617",北京丽特博鑫商贸有限公司,北京市,北京北京市
北京市市辖区,石景山区,北京市石景山衙门口村,"116.210647,39.890594",北京市东和鑫瑞空调维修部,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区垡头翠成馨园127号楼2号底商,"116.513378,39.855876",北京鑫顺通达科技有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区东坝西北门环岛五环大院355号,"116.540090,39.974295",北京金海益商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,丰台区小红门路珊瑚桥南东瀚写楼南2号底商,"116.458992,39.833843",北京华腾智胜商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区东坝后街村临41号,"116.561524,39.979822",北京宏森裕达商贸有限公司,北京市,北京北京市
北京市市辖区,朝阳区,北京市朝阳区高碑店东店甲一号院,"116.544231,39.904626",北京燃鑫燃气用具服务有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区张仪村路李家大院食府西行辅路2000米陶瓷仓库院内,"116.218910,39.869816",北京君梅盛达科技发展有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区西五里店21号,"116.244604,39.857794",北京鑫隆宇博商贸中心,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区五里店270号,"116.254837,39.860321",北京万思圆科技有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市 丰台区卢沟桥晓月中路29号,"116.237576,39.836274",北京祥和运科技发展有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区南苑机场56号院,"116.386956,39.795977",北京鲁泰信达商贸有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区看丹桥东丰台南路新村一里三号楼5号底商,"116.303090,39.840953",北京大海扬光商贸有限责任公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台张仪村路496号,"116.231103,39.873411",北京春光伟业科技发展有限公司,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台区樊家村甲4号6号楼底商103,"116.315017,39.849537",北京创达五洲商贸有限公司,北京市,北京北京市
北京市市辖区,西城区,北京市西城区广安门外车站西街17号院北门,"116.341557,39.879351",北京市菜户营金诺家电维修部,北京市,北京北京市
北京市市辖区,丰台区,北京市丰台万泉寺万润风景小区5号楼2底商,"116.338374,39.857540",北京承启达盛经贸有限公司,北京市,北京北京市
北京市市辖区,西城区,北京西城区冰窖口胡同1-20,"116.375450,39.951551",北京东方紫润商贸中心,北京市,北京北京市
北京市市辖区,通州区,北京市通州区潞城镇大台村三中西一百米路南,"116.726560,39.907834",北京华海日盛商贸有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区永乐店镇永乐大街17号,"116.791448,39.709344",北京永乐新奇特科技发展有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区马驹桥镇一号桥小张湾152号,"116.553295,39.724010",北京力诺瑞业技术服务有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区张家湾镇太玉园底商105,"116.699876,39.851436",北京合海众信商贸有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区马驹桥镇辛屯村47号,"116.547478,39.757638",北京海兴津海电子有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区马驹桥镇小张湾152号,"116.553295,39.724010",北京京西齐义达制冷技术服务有限公司,北京市,北京北京市
北京市市辖区,通州区,北京通州区怡乐北街55号,"116.637589,39.888567",北京东方蓝菊国际家电技术服务中心,北京市,北京北京市
北京市市辖区,通州区,北京市通州区西营前街23-2 102室,"116.664313,39.898625",北京宝徕赐金商贸有限公司,北京市,北京北京市
北京市市辖区,通州区,北京市通州区张家湾镇星月泡沫北门院内,"116.723467,39.861850",北京玉海顺达家电维修中心,北京市,北京北京市
北京市市辖区,通州区,北京市通州区北苑新华联锦园15号楼底商,"116.628272,39.900034",北京群力安达商贸有限公司,北京市,北京北京市
北京市市辖区,顺义区,北京市顺义区南彩镇前俸博彩俸北区8号楼1单元101,"116.700361,40.132330",北京顺达新业家用电器维修中心,北京市,北京北京市
北京市市辖区,顺义区,北京市顺义区南法信镇北法信村信平大街49号,"116.613985,40.137255",北京奥特迅美电器维修中心,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区南召日日顺物流公司,"116.231204,40.220660",北京欧华思普科贸有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区百善镇百善村百利通盛仓储基地,"116.336411,40.164663",北京京北国人商贸有限公司,北京市,北京北京市
北京市市辖区,昌平区,地址北京昌平区东小口镇鑫利达库房,"116.402754,40.073072",北京汇通融信电子电器设备有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京是昌平区南好庒村99号海尔专卖店,"116.209679,40.210130",北京金汇元工贸发展有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区东小口镇单村168号,"116.400172,40.072579",北京汇通兴业科技有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区东小口镇太平家园底商,"116.408778,40.069259",北京汇通日日顺科技有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区小汤山镇关牛房工业区,"116.399906,40.177324",北京侨志家电维修有限公司,北京市,北京北京市
北京市市辖区,昌平区,北京市昌平区马池口镇白浮185,"116.249775,40.187294",北京冰点飓风制冷设备维修中心,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇狼各庒东村,"116.349641,39.672900",北京三姊金秋商贸有限责任公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区北藏村镇梨园新村路东18号,"116.302618,39.686276",北京鑫洋恒运祥和商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇后辛庄村新秋公寓对面,"116.284237,39.722361",北京朋海园商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区旧宫镇西毓顺1号海尔,"116.419273,39.774049",北京祥瑞百通商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区旧宫镇小红门路壳牌加油站对面广厦路2号,"116.456875,39.818000",北京鼎裕新源电器商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区姜场工业园2排10号,"116.467189,39.762878",北京永颂新业家用电器维修中心,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇海子角东街南六条11号,"116.352468,39.717185",北京兴海达家电维修中心,北京市,北京北京市
北京市市辖区,密云区,北京密云县康居南区商业综合楼甲06号海尔专卖店,"116.835023,40.378473",北京商亦乐商贸有限责任公司,北京市,北京北京市
北京市市辖区,密云区,北京市密云县新农村,"116.882662,40.387754",北京兴业博达科技有限公司,北京市,北京北京市
北京市市辖区,怀柔区,北京怀柔区北房镇永昌路023号,"116.704421,40.323073",北京华宇日日顺科技有限公司,北京市,北京北京市
北京市市辖区,怀柔区,北京市怀柔区迎宾中路甲42号楼,"116.637715,40.321007",北京辉宇达燃气设备有限公司怀柔分公司,北京市,北京北京市
北京市市辖区,延庆区,北京延庆县东街19号延庆百货大楼1层海尔专卖店,"115.973328,40.459198",北京日日顺科技有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇西芦城西街东排2呈,"116.295646,39.753485",北京海兴宏祥商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇丽园A区6-1-101,"116.322000,39.754600",北京辰翔众力商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京市大兴区黄村镇后辛庄村新秋公寓对面,"116.284237,39.722361",北京朋海园商贸有限公司,北京市,北京北京市
北京市市辖区,大兴区,北京丰台大兴区旧宫镇德茂庄西毓顺1号警务工作站院内,"116.419273,39.774049",北京众利合信商贸有限公司,北京市,北京北京市
北京市市辖区,平谷区,北京市平谷区王辛庄镇贾各庄南街69号,"117.105212,40.150875",北京利峰顺达电器维修中心,北京市,北京北京市
天津市市辖区,河东区,天津市河东区卫国道万东路红顶花园31号,"117.268292,39.140750",天津市兴达顺发商贸有限公司,天津市,天津天津市
天津市市辖区,河东区,天津市河东区大桥道和进里12号楼旁日日顺,"117.253784,39.110938",天津市海丰家电维修服务有限责任公司,天津市,天津天津市
天津市市辖区,河东区,天津市河东区直沽街靓锦名居15-1-101,"117.249785,39.117361",天津市天海鑫晟商贸有限公司,天津市,天津天津市
天津市市辖区,河西区,河北省天津市河西区珠江道与艺林路交口锦福里8-108,"117.283478,39.064568",天津市河西区智慧海星家电销售服务中心,天津市,天津天津市
天津市市辖区,河西区,"天津市河西区小海地恒山里平房大院,海尔售后","117.263260,39.070007",天津市力王天成电器商贸有限公司,天津市,天津天津市
天津市市辖区,河西区,天津市河西区微山路与珠江道交口海尔专卖,"117.262493,39.063600",天津市彩虹桥制冷设备销售有限公司,天津市,天津天津市
天津市市辖区,河西区,天津市河西区越秀路珠海里底商1号,"117.211816,39.099605",天津市天元制冷设备服务有限公司,天津市,天津天津市
天津市市辖区,河北区,天津市河北区天泰路孟家树林大街4号,"117.182854,39.165473",天津市兴达顺发家用电器修理部,天津市,天津天津市
天津市市辖区,东丽区,天津市东丽区赵沽里大街盛祥仓库,"117.251230,39.169608",天津市西青区凯博家电维修中心,天津市,天津天津市
天津市市辖区,东丽区,天津市东丽区大无缝秋霞里4-2,"117.507541,39.042115",天津仁弘顺科技有限公司,天津市,天津天津市
天津市市辖区,东丽区,天津市东丽区卫康南里4条7号(津昆桥居然之家附近),"117.278158,39.121673",天津市南开区众晟达家用电器维修中心,天津市,天津天津市
天津市市辖区,东丽区,天津市东丽区程林庄道警民路1号（天津创业培训中心对面）,"117.285734,39.122571",天津海一工贸有限公司,天津市,天津天津市
天津市市辖区,东丽区,天津市东丽区赵沽东里大队院内第四仓库内,"117.314324,39.086569",天津市河北区润达宝丰电器经营部,天津市,天津天津市
天津市市辖区,北辰区,天津市北辰区铁东北路天盈道天盈四支路园区宾馆左边小院,"117.175440,39.222990",天津鼎盛源科技发展有限公司,天津市,天津天津市
天津市市辖区,北辰区,天津市北辰区双街镇胡元村,"117.102679,39.290985",天津市北辰区群飞家用电器经营部,天津市,天津天津市
天津市市辖区,北辰区,天津市北辰区宜兴富三千路长安道53号,"117.210679,39.198943",天津市金诚永益家电维修有限公司,天津市,天津天津市
天津市市辖区,北辰区,天津市北辰区小淀镇刘安庄万华园小区2排16号,"117.193402,39.241544",天津市南开区永嘉电子服务部,天津市,天津天津市
天津市市辖区,北辰区,天津市北辰区小淀镇川野路王朝第二酒厂对过,"117.239320,39.249636",天津市北辰区超瑞家电商行,天津市,天津天津市
天津市市辖区,武清区,天津市武清区梅厂镇灰郭口村金郭花园1区一排3号,"117.200734,39.370178",天津市武清区航海家电维修部,天津市,天津天津市
天津市市辖区,武清区,天津市武清区曹园小区15-1-101,"117.078695,39.400884",天津鸿坤盛源商贸有限公司,天津市,天津天津市
天津市市辖区,武清区,天津市武清区杨村镇育才北里文采巷18条2排1号,"117.082314,39.379976",文安县翔驰家电维修部,天津市,天津天津市
天津市市辖区,武清区,天津市武清区华北城茶城A-1-108,"117.095039,39.328991",天津博胜源利新能源科技有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市西青区霞栋别墅11-1,"117.111142,39.130056",天津欧诺佳科技有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市西青区东姜井霞东别墅12-2,"117.112364,39.130319",天津索菲仕科技有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市西青区外环线七号桥西苑别墅A区增4号,"117.102611,39.114874",天津鸿泰兴源商贸有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市南开区芥园西道中铁十八局宿舍2-1-202,"117.113010,39.130949",天津海诺佳科技有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市南开区华苑康达尚郡9-1-1102,"117.129857,39.091085",天津市隆兴制冷有限公司,天津市,天津天津市
天津市市辖区,西青区,天津市西青区边村别墅鑫福园10-,"117.148277,39.041363",天津科赛诺科技有限公司,天津市,天津天津市
天津市市辖区,津南区,天津市津南区辛庄镇碧水世纪园36-2,"117.363334,39.031435",天津荣享顺发科技有限公司,天津市,天津天津市
天津市市辖区,滨海新区,天津市滨海新区塘沽工农村厦门路万通上北新新家园20-2,"117.646412,39.061386",天津市滨海新区塘沽鑫林家电维修中心,天津市,天津天津市
天津市市辖区,滨海新区,天津市滨海新区大港中塘张港子门脸19号,"117.397850,38.850674",天津市滨海新区大港盈海通家电维修部XZ,天津市,天津天津市
天津市市辖区,滨海新区,天津市塘沽区上海道碧海鸿庭底商星级海尔服务,"117.641823,39.023526",天津中腾机电设备销售有限公司,天津市,天津天津市
天津市市辖区,滨海新区,天津市汉沽区河西街崔庄星达里4号楼对面（日日顺电器）,"117.790372,39.239688",天津市滨海新区汉沽恩馨联家电维修中心,天津市,天津天津市
天津市市辖区,滨海新区,天津市塘沽区福建路1016号河华里一栋底商海尔特约维修中心,"117.643640,39.016502",天津市滨海新区塘沽腾恒欣家电修理部,天津市,天津天津市
天津市市辖区,宝坻区,天津市宝坻区宝平公路黑豆窝开发区顺发路9号,"117.280201,39.704239",天津市宝坻区海明顺电器商行,天津市,天津天津市
天津市市辖区,宝坻区,天津市沧州市献县乐寿镇北张庄,"117.367406,39.768960",献县红涛家电维修部,天津市,天津天津市
天津市市辖区,宝坻区,天津市宝坻区宝平公路西侧黑豆窝开发区顺发路9号海尔星级服务中心,"117.280201,39.704239",天津市宝坻区美一嘉家用电器销售中心,天津市,天津天津市
天津市市辖区,宁河区,天津市宁河县芦台镇南崔庄,"117.825046,39.311734",天津市宁河县友全家电维修部XZ,天津市,天津天津市
天津市市辖区,宁河区,天津市宁河县芦台镇光明路第一运输公司院内,"117.839388,39.327870",天津市丰鑫电器销售有限公司,天津市,天津天津市
天津市市辖区,宁河区,天津市宁河县芦台镇时代花园14-1-101,"117.841087,39.331159",天津市宁河县开拓者电器维修部,天津市,天津天津市
天津市市辖区,静海区,天津静海县静海开发区大寨村西宏盛园小区一号楼底商,"117.032298,38.946821",天津市静海县恒信家电维修部,天津市,天津天津市
天津市市辖区,静海区,天津市静海县蓝海小区3-2-101,"116.973908,38.931526",天津市盈通家电维修有限公司,天津市,天津天津市
天津市市辖区,静海区,天津市静海县兰海小区10-3-102,"116.973167,38.931315",天津市静海县奉贤家电维修部,天津市,天津天津市
天津市市辖区,静海区,天津市静海县静文路外贸仓库,"116.921639,38.939724",天津市德利尔商贸有限公司,天津市,天津天津市
石家庄市,长安区,河北省石家庄市长安区东二环北路秋景怡园东区11号商铺,"114.580645,38.062104",石家庄鹊翔电器销售有限公司,河北省,河北省石家庄市
石家庄市,长安区,河北省石家庄市长安区华清街宝石宾馆楼下,"114.539931,38.056028",石家庄佳宏家电销售有限公司,河北省,河北省石家庄市
石家庄市,长安区,河北省石家庄市长安区中山东路108号,"114.508958,38.043042",石家庄永起家电销售有限公司,河北省,河北省石家庄市
